# source: kjerag-spike --bin epi (0.2.0)
# args: scratch/epi/corpus/x2-1844.csv scratch/epi/corpus/x2-1913.csv scratch/epi/corpus/x2-1936.csv axis=epi middle=trimmed seam=roll:-2.503,yaw:1.334,pitch:2.559,cx:3.31,cy:-8.04 dump=scratch/epi/leftovers-x2-epi.csv
# axis: across the seam (epipolar)
# reduction: trimmed, gate on
# seam: roll:-2.503 yaw:1.334 pitch:2.559 cx:3.31 cy:-8.04
# left_deg is across_deg with the pose's own across-seam shift added.
capture,phi_deg,read_deg,left_deg,readings,negative,error_deg,skew_deg
x2-1913,140.0000,-0.048707,-0.063078,25,19,0.020013,0.781162
x2-1913,145.0000,0.224941,-0.054544,27,4,0.020852,-0.209581
x2-1913,150.0000,0.443575,-0.096779,33,3,0.009693,0.136606
x2-1913,155.0000,0.777908,-0.018825,42,1,0.016422,0.294766
x2-1913,160.0000,1.020008,-0.024177,79,2,0.015503,0.214798
x2-1913,165.0000,1.290187,0.009802,145,1,0.014253,0.372165
x2-1913,170.0000,1.506193,0.000905,156,2,0.004927,0.006020
x2-1913,175.0000,1.768849,0.054171,175,5,0.004307,-0.005618
x2-1913,180.0000,1.999223,0.088794,211,1,0.005026,0.023782
x2-1913,185.0000,2.241210,0.149594,205,0,0.004273,0.023885
x2-1913,190.0000,2.449099,0.192547,168,0,0.005943,0.017202
x2-1913,195.0000,2.675219,0.274541,154,0,0.006906,-0.077169
x2-1913,200.0000,2.831586,0.300635,148,0,0.008814,-0.024899
x2-1913,205.0000,2.982384,0.349027,107,0,0.011560,0.020944
x2-1913,210.0000,3.146045,0.432769,143,0,0.010675,-0.141917
x2-1913,215.0000,3.306303,0.522207,175,0,0.008866,-0.212330
x2-1913,220.0000,3.455667,0.629653,179,0,0.005453,-0.254866
x2-1913,225.0000,3.542515,0.696383,192,0,0.003877,-0.312730
x2-1913,230.0000,3.587861,0.741097,183,0,0.003968,-0.350008
x2-1913,235.0000,3.607124,0.786658,159,0,0.004319,-0.368120
x2-1913,240.0000,3.583512,0.800907,107,0,0.008238,-0.385190
x2-1913,245.0000,3.346047,0.627975,74,0,0.024529,-0.252395
x2-1913,250.0000,2.511316,-0.116200,272,25,0.025551,-2.254536
x2-1913,295.0000,1.689302,0.639435,89,0,0.019619,-0.212248
x2-1913,300.0000,1.429032,0.620787,116,0,0.013190,-0.249753
x2-1913,305.0000,1.151696,0.593962,143,0,0.004463,-0.257704
x2-1913,310.0000,0.849087,0.548186,165,0,0.004093,-0.264697
x2-1913,315.0000,0.493127,0.453691,188,1,0.008983,-0.194077
x2-1913,320.0000,0.173344,0.400921,182,37,0.009060,-0.200038
x2-1913,325.0000,-0.152084,0.339139,131,120,0.012161,-0.178248
x2-1913,330.0000,-0.536859,0.217964,72,68,0.019639,0.031478
x2-1913,335.0000,-0.870541,0.149515,60,55,0.015243,0.200241
x2-1913,340.0000,-1.135897,0.137005,59,54,0.015154,0.165218
x2-1913,345.0000,-1.475546,0.038430,100,98,0.005406,0.079102
x2-1913,350.0000,-1.761639,0.001477,168,167,0.003306,0.014173
x2-1913,355.0000,-2.007107,-0.015111,200,197,0.002934,0.031107
x2-1936,0.0000,-2.225070,-0.023514,172,171,0.004766,0.111593
x2-1936,5.0000,-2.442227,-0.043744,174,174,0.003716,0.177715
x2-1936,10.0000,-2.643979,-0.060620,177,177,0.003547,0.085987
x2-1936,15.0000,-2.821361,-0.073045,178,177,0.003394,0.101271
x2-1936,45.0000,-3.340741,-0.071294,90,89,0.009925,0.603285
x2-1936,50.0000,-3.361227,-0.086997,74,74,0.009884,0.266319
x2-1936,55.0000,-3.336621,-0.081730,71,71,0.011116,0.690762
x2-1936,60.0000,-3.324425,-0.121953,64,64,0.007591,0.347136
x2-1936,65.0000,-3.266751,-0.135669,69,69,0.006523,0.420565
x2-1936,70.0000,-3.141181,-0.101417,58,56,0.012327,0.340149
x2-1936,75.0000,-3.060926,-0.140515,52,52,0.008107,0.417179
x2-1936,80.0000,-2.941167,-0.160226,51,51,0.004475,0.341069
x2-1936,85.0000,-2.786531,-0.165769,44,44,0.003396,0.261464
x2-1936,90.0000,-2.607732,-0.165707,52,52,0.006030,0.272557
x2-1936,95.0000,-2.415653,-0.178424,52,52,0.003663,0.144523
x2-1936,100.0000,-2.200868,-0.171102,49,49,0.004628,0.103815
x2-1936,105.0000,-1.986355,-0.182786,50,50,0.004860,0.078505
x2-1936,110.0000,-1.736255,-0.171958,54,54,0.005661,0.331935
x2-1936,115.0000,-1.477792,-0.165094,65,65,0.009322,0.359560
x2-1936,120.0000,-1.197211,-0.148279,61,61,0.008741,0.278259
x2-1936,125.0000,-0.918930,-0.129582,62,60,0.020212,0.209386
x2-1936,130.0000,-0.656930,-0.135492,58,56,0.011282,0.255403
x2-1936,135.0000,-0.318209,-0.064621,51,45,0.019769,0.329420
x2-1936,140.0000,-0.091372,-0.105744,56,39,0.013985,0.313516
x2-1936,145.0000,0.176105,-0.103380,60,2,0.003730,0.187008
x2-1936,150.0000,0.459981,-0.080373,68,4,0.007306,0.071015
x2-1936,155.0000,0.741595,-0.055138,76,1,0.007159,0.087348
x2-1936,160.0000,1.024632,-0.019553,88,1,0.013609,0.159227
x2-1936,165.0000,1.265524,-0.014861,127,9,0.007914,0.002218
x2-1936,170.0000,1.646147,0.140859,49,0,0.032767,0.439944
x2-1936,175.0000,1.800340,0.085662,69,3,0.016136,1.408489
x2-1936,180.0000,1.966695,0.056266,118,5,0.007393,-0.036864
x2-1936,185.0000,2.198477,0.106861,174,0,0.004203,0.039310
x2-1936,190.0000,2.406362,0.149810,170,0,0.004525,0.035792
x2-1936,195.0000,2.595403,0.194725,164,0,0.005473,0.088488
x2-1936,200.0000,2.730534,0.199583,130,0,0.003077,0.158647
x2-1936,205.0000,2.917656,0.284300,132,0,0.008710,0.162815
x2-1936,210.0000,2.970683,0.257407,126,0,0.004028,0.254068
x2-1936,215.0000,3.072377,0.288282,133,0,0.005514,0.264113
x2-1936,220.0000,3.148079,0.322064,127,0,0.007412,0.351817
x2-1936,225.0000,3.310617,0.464485,139,0,0.015516,0.306739
x2-1936,230.0000,3.367683,0.520919,125,0,0.018043,0.263012
x2-1936,235.0000,3.376875,0.556409,112,0,0.020670,0.371187
x2-1936,240.0000,3.345261,0.562656,121,0,0.019760,0.354010
x2-1936,245.0000,3.100567,0.382495,89,0,0.003064,0.398643
x2-1936,250.0000,2.561326,-0.066190,217,4,0.017247,-0.469107
